ccode,year,gender,age,age_group,status,geo,pop_emp_geo
CIV,2015,female,63,55-64,unemployed,urban,316.0
CIV,2015,female,63,55-64,inactive,rural,5061.0
CIV,2015,female,63,55-64,inactive,urban,6683.0
CIV,2015,female,63,55-64,student,rural,398.0
CIV,2015,female,63,55-64,student,urban,526.0
CIV,2015,female,64,55-64,employed,rural,9808.0
CIV,2015,female,64,55-64,employed,urban,5839.0
CIV,2015,female,64,55-64,unemployed,rural,151.0
CIV,2015,female,64,55-64,unemployed,urban,291.0
CIV,2015,female,64,55-64,inactive,rural,4664.0
CIV,2015,female,64,55-64,inactive,urban,6159.0
CIV,2015,female,64,55-64,student,rural,367.0
CIV,2015,female,64,55-64,student,urban,485.0
CIV,2015,male,15,15-24,employed,rural,80978.0
CIV,2015,male,15,15-24,employed,urban,69298.0
CIV,2015,male,15,15-24,unemployed,rural,584.0
CIV,2015,male,15,15-24,unemployed,urban,3323.0
CIV,2015,male,15,15-24,inactive,rural,10564.0
CIV,2015,male,15,15-24,inactive,urban,27836.0
CIV,2015,male,15,15-24,student,rural,27010.0
CIV,2015,male,15,15-24,student,urban,71176.0
CIV,2015,male,16,15-24,employed,rural,79197.0
CIV,2015,male,16,15-24,employed,urban,67774.0
CIV,2015,male,16,15-24,unemployed,rural,571.0
CIV,2015,male,16,15-24,unemployed,urban,3250.0
CIV,2015,male,16,15-24,inactive,rural,10331.0
CIV,2015,male,16,15-24,inactive,urban,27224.0
CIV,2015,male,16,15-24,student,rural,26416.0
CIV,2015,male,16,15-24,student,urban,69610.0
CIV,2015,male,17,15-24,employed,rural,76829.0
CIV,2015,male,17,15-24,employed,urban,65747.0
CIV,2015,male,17,15-24,unemployed,rural,554.0
CIV,2015,male,17,15-24,unemployed,urban,3153.0
CIV,2015,male,17,15-24,inactive,rural,10022.0
CIV,2015,male,17,15-24,inactive,urban,26410.0
CIV,2015,male,17,15-24,student,rural,25626.0
CIV,2015,male,17,15-24,student,urban,67529.0
CIV,2015,male,18,15-24,employed,rural,73620.0
CIV,2015,male,18,15-24,employed,urban,63001.0
CIV,2015,male,18,15-24,unemployed,rural,531.0
CIV,2015,male,18,15-24,unemployed,urban,3021.0
CIV,2015,male,18,15-24,inactive,rural,9604.0
CIV,2015,male,18,15-24,inactive,urban,25307.0
CIV,2015,male,18,15-24,student,rural,24556.0
CIV,2015,male,18,15-24,student,urban,64708.0
CIV,2015,male,19,15-24,employed,rural,69885.0
CIV,2015,male,19,15-24,employed,urban,59805.0
CIV,2015,male,19,15-24,unemployed,rural,504.0
CIV,2015,male,19,15-24,unemployed,urban,2868.0
CIV,2015,male,19,15-24,inactive,rural,9117.0
CIV,2015,male,19,15-24,inactive,urban,24023.0
CIV,2015,male,19,15-24,student,rural,23310.0
CIV,2015,male,19,15-24,student,urban,61426.0
CIV,2015,male,20,15-24,employed,rural,66196.0
CIV,2015,male,20,15-24,employed,urban,56648.0
CIV,2015,male,20,15-24,unemployed,rural,477.0
CIV,2015,male,20,15-24,unemployed,urban,2717.0
CIV,2015,male,20,15-24,inactive,rural,8635.0
CIV,2015,male,20,15-24,inactive,urban,22755.0
CIV,2015,male,20,15-24,student,rural,22080.0
CIV,2015,male,20,15-24,student,urban,58182.0
CIV,2015,male,21,15-24,employed,rural,62450.0
CIV,2015,male,21,15-24,employed,urban,53443.0
CIV,2015,male,21,15-24,unemployed,rural,450.0
CIV,2015,male,21,15-24,unemployed,urban,2563.0
CIV,2015,male,21,15-24,inactive,rural,8147.0
CIV,2015,male,21,15-24,inactive,urban,21467.0
CIV,2015,male,21,15-24,student,rural,20830.0
CIV,2015,male,21,15-24,student,urban,54891.0
CIV,2015,male,22,15-24,employed,rural,59015.0
CIV,2015,male,22,15-24,employed,urban,50502.0
CIV,2015,male,22,15-24,unemployed,rural,425.0
CIV,2015,male,22,15-24,unemployed,urban,2422.0
CIV,2015,male,22,15-24,inactive,rural,7698.0
CIV,2015,male,22,15-24,inactive,urban,20287.0
CIV,2015,male,22,15-24,student,rural,19684.0
CIV,2015,male,22,15-24,student,urban,51871.0
CIV,2015,male,23,15-24,employed,rural,56134.0
CIV,2015,male,23,15-24,employed,urban,48038.0
CIV,2015,male,23,15-24,unemployed,rural,404.0
CIV,2015,male,23,15-24,unemployed,urban,2304.0
CIV,2015,male,23,15-24,inactive,rural,7323.0
CIV,2015,male,23,15-24,inactive,urban,19296.0
CIV,2015,male,23,15-24,student,rural,18724.0
CIV,2015,male,23,15-24,student,urban,49339.0
CIV,2015,male,24,15-24,employed,rural,53660.0
CIV,2015,male,24,15-24,employed,urban,45921.0
CIV,2015,male,24,15-24,unemployed,rural,387.0
CIV,2015,male,24,15-24,unemployed,urban,2202.0
CIV,2015,male,24,15-24,inactive,rural,7000.0
CIV,2015,male,24,15-24,inactive,urban,18446.0
CIV,2015,male,24,15-24,student,rural,17898.0
CIV,2015,male,24,15-24,student,urban,47165.0
CIV,2015,male,25,25-34,employed,rural,81356.0
CIV,2015,male,25,25-34,employed,urban,75829.0
CIV,2015,male,25,25-34,unemployed,rural,507.0
CIV,2015,male,25,25-34,unemployed,urban,2727.0
CIV,2015,male,25,25-34,inactive,rural,7106.0
CIV,2015,male,25,25-34,inactive,urban,12204.0
CIV,2015,male,25,25-34,student,rural,1518.0
CIV,2015,male,25,25-34,student,urban,2606.0
CIV,2015,male,26,25-34,employed,rural,77606.0
CIV,2015,male,26,25-34,employed,urban,72334.0
CIV,2015,male,26,25-34,unemployed,rural,483.0
CIV,2015,male,26,25-34,unemployed,urban,2602.0
CIV,2015,male,26,25-34,inactive,rural,6779.0
CIV,2015,male,26,25-34,inactive,urban,11641.0
CIV,2015,male,26,25-34,student,rural,1448.0
CIV,2015,male,26,25-34,student,urban,2486.0
CIV,2015,male,27,25-34,employed,rural,74193.0
CIV,2015,male,27,25-34,employed,urban,69153.0
CIV,2015,male,27,25-34,unemployed,rural,462.0
CIV,2015,male,27,25-34,unemployed,urban,2487.0
CIV,2015,male,27,25-34,inactive,rural,6481.0
CIV,2015,male,27,25-34,inactive,urban,11129.0
CIV,2015,male,27,25-34,student,rural,1384.0
CIV,2015,male,27,25-34,student,urban,2377.0
CIV,2015,male,28,25-34,employed,rural,71148.0
CIV,2015,male,28,25-34,employed,urban,66315.0
CIV,2015,male,28,25-34,unemployed,rural,443.0
CIV,2015,male,28,25-34,unemployed,urban,2385.0
CIV,2015,male,28,25-34,inactive,rural,6214.0
CIV,2015,male,28,25-34,inactive,urban,10673.0
CIV,2015,male,28,25-34,student,rural,1327.0
CIV,2015,male,28,25-34,student,urban,2280.0
CIV,2015,male,29,25-34,employed,rural,68459.0
CIV,2015,male,29,25-34,employed,urban,63808.0
CIV,2015,male,29,25-34,unemployed,rural,426.0
CIV,2015,male,29,25-34,unemployed,urban,2295.0
CIV,2015,male,29,25-34,inactive,rural,5979.0
CIV,2015,male,29,25-34,inactive,urban,10269.0
CIV,2015,male,29,25-34,student,rural,1277.0
CIV,2015,male,29,25-34,student,urban,2193.0
CIV,2015,male,30,25-34,employed,rural,65963.0
CIV,2015,male,30,25-34,employed,urban,61482.0
CIV,2015,male,30,25-34,unemployed,rural,411.0
CIV,2015,male,30,25-34,unemployed,urban,2211.0
CIV,2015,male,30,25-34,inactive,rural,5761.0
CIV,2015,male,30,25-34,inactive,urban,9895.0
CIV,2015,male,30,25-34,student,rural,1231.0
CIV,2015,male,30,25-34,student,urban,2113.0
