ccode,year,edu_ilo,age_group,gender,share_unemp,share_inact
CIV,2025,Tertiary,25-54,male,0.07802,0.12551
CIV,2015,Tertiary,55-64,female,0.0387225,0.3451149999999999
CIV,2016,Tertiary,55-64,female,0.05484,0.3707837499999999
CIV,2017,Tertiary,55-64,female,0.02345,0.3738049999999999
CIV,2018,Tertiary,55-64,female,0.02329,0.3451149999999999
CIV,2019,Tertiary,55-64,female,0.02743,0.372715
CIV,2020,Tertiary,55-64,female,0.02837,0.392765
CIV,2021,Tertiary,55-64,female,0.03345,0.392765
CIV,2022,Tertiary,55-64,female,0.03579,0.386
CIV,2023,Tertiary,55-64,female,0.02828,0.372885
CIV,2024,Tertiary,55-64,female,0.03476,0.3486
CIV,2025,Tertiary,55-64,female,0.03476,0.3486
CIV,2015,Tertiary,55-64,male,0.0366849999999999,0.4402637499999999
CIV,2016,Tertiary,55-64,male,0.0366849999999999,0.406535
CIV,2017,Tertiary,55-64,male,0.0361,0.3945599999999999
CIV,2018,Tertiary,55-64,male,0.0366849999999999,0.382585
CIV,2019,Tertiary,55-64,male,0.0366849999999999,0.37061
CIV,2020,Tertiary,55-64,male,0.0366849999999999,0.358635
CIV,2021,Tertiary,55-64,male,0.036845,0.34666
CIV,2022,Tertiary,55-64,male,0.0366849999999999,0.334685
CIV,2023,Tertiary,55-64,male,0.0366849999999999,0.334685
CIV,2024,Tertiary,55-64,male,0.0366849999999999,0.334685
CIV,2025,Tertiary,55-64,male,0.0366849999999999,0.334685
CIV,2015,Upper secondary,15-24,female,0.3297766666666667,0.84489
CIV,2016,Upper secondary,15-24,female,0.32738,0.8841100000000001
CIV,2017,Upper secondary,15-24,female,0.3249833333333333,0.8556933333333333
CIV,2018,Upper secondary,15-24,female,0.3225866666666667,0.8272766666666667
CIV,2019,Upper secondary,15-24,female,0.32019,0.7988599999999999
CIV,2020,Upper secondary,15-24,female,0.3177933333333333,0.8033666666666666
CIV,2021,Upper secondary,15-24,female,0.3153966666666666,0.8078733333333333
CIV,2022,Upper secondary,15-24,female,0.313,0.81238
CIV,2023,Upper secondary,15-24,female,0.313,0.81238
CIV,2024,Upper secondary,15-24,female,0.313,0.81238
CIV,2025,Upper secondary,15-24,female,0.313,0.81238
CIV,2015,Upper secondary,15-24,male,0.1463166666666666,0.7339933333333334
CIV,2016,Upper secondary,15-24,male,0.13001,0.74993
CIV,2017,Upper secondary,15-24,male,0.1137033333333333,0.69184
CIV,2018,Upper secondary,15-24,male,0.0973966666666666,0.63375
CIV,2019,Upper secondary,15-24,male,0.08109,0.5756600000000001
CIV,2020,Upper secondary,15-24,male,0.0930466666666666,0.5972700000000001
CIV,2021,Upper secondary,15-24,male,0.1050033333333333,0.6188800000000001
CIV,2022,Upper secondary,15-24,male,0.11696,0.6404900000000001
CIV,2023,Upper secondary,15-24,male,0.11696,0.6404900000000001
CIV,2024,Upper secondary,15-24,male,0.11696,0.6404900000000001
CIV,2025,Upper secondary,15-24,male,0.11696,0.6404900000000001
CIV,2015,Upper secondary,25-54,female,0.0970766666666666,0.3619933333333333
