ccode,year,gender,age,age_group,broad_sector,formality,population
CIV,2016,Female,20,15-24,Services,Formal,29.0
CIV,2016,Female,21,15-24,Services,Informal,3725.0
CIV,2016,Female,21,15-24,Services,Formal,27.0
CIV,2016,Female,22,15-24,Services,Informal,3552.0
CIV,2016,Female,22,15-24,Services,Formal,26.0
CIV,2016,Female,23,15-24,Services,Informal,3405.0
CIV,2016,Female,23,15-24,Services,Formal,25.0
CIV,2016,Female,24,15-24,Services,Informal,3277.0
CIV,2016,Female,24,15-24,Services,Formal,24.0
CIV,2017,Female,15,15-24,Services,Informal,8850.0
CIV,2017,Female,15,15-24,Services,Formal,417.0
CIV,2017,Female,16,15-24,Services,Informal,8646.0
CIV,2017,Female,16,15-24,Services,Formal,407.0
CIV,2017,Female,17,15-24,Services,Informal,8403.0
CIV,2017,Female,17,15-24,Services,Formal,396.0
CIV,2017,Female,18,15-24,Services,Informal,8103.0
CIV,2017,Female,18,15-24,Services,Formal,381.0
CIV,2017,Female,19,15-24,Services,Informal,7765.0
CIV,2017,Female,19,15-24,Services,Formal,366.0
CIV,2017,Female,20,15-24,Services,Informal,7435.0
CIV,2017,Female,20,15-24,Services,Formal,350.0
CIV,2017,Female,21,15-24,Services,Informal,7102.0
CIV,2017,Female,21,15-24,Services,Formal,334.0
CIV,2017,Female,22,15-24,Services,Informal,6790.0
CIV,2017,Female,22,15-24,Services,Formal,320.0
CIV,2017,Female,23,15-24,Services,Informal,6517.0
CIV,2017,Female,23,15-24,Services,Formal,307.0
CIV,2017,Female,24,15-24,Services,Informal,6271.0
CIV,2017,Female,24,15-24,Services,Formal,295.0
CIV,2018,Female,15,15-24,Services,Informal,8646.0
CIV,2018,Female,15,15-24,Services,Formal,263.0
CIV,2018,Female,16,15-24,Services,Informal,8445.0
CIV,2018,Female,16,15-24,Services,Formal,257.0
CIV,2018,Female,17,15-24,Services,Informal,8214.0
CIV,2018,Female,17,15-24,Services,Formal,250.0
